description_id,content,logistics,motivation,transferrable
0,73.92996108949417,0.0,26.07003891050584,0.0
1,62.7906976744186,25.0,0.0,12.209302325581394
2,35.46511627906977,46.51162790697674,18.023255813953487,0.0
3,68.85245901639344,4.007285974499089,25.683060109289617,1.4571948998178506
4,27.70083102493075,1.662049861495845,49.307479224376735,21.329639889196674
5,10.847457627118644,23.389830508474578,65.76271186440678,0.0
6,69.00958466453673,18.53035143769968,12.460063897763577,0.0
7,40.4040404040404,9.764309764309765,49.831649831649834,0.0
8,43.41637010676156,9.9644128113879,43.06049822064057,3.558718861209965
9,26.41509433962264,27.358490566037734,35.14150943396226,11.084905660377359
10,35.8148893360161,29.175050301810867,20.12072434607646,14.88933601609658
11,34.31372549019608,31.61764705882353,34.068627450980394,0.0
12,31.35593220338983,8.47457627118644,35.59322033898305,24.576271186440678
13,27.184466019417474,0.0,15.53398058252427,57.28155339805825
14,14.624505928853754,0.0,85.37549407114624,0.0
15,67.88990825688074,9.174311926605505,12.844036697247708,10.091743119266056
16,0.0,0.0,100.0,0.0
17,0.0,25.0,75.0,0.0
18,73.52941176470588,9.558823529411764,16.911764705882355,0.0
19,0.0,40.07220216606498,22.382671480144403,37.545126353790614
20,0.0,100.0,0.0,0.0
21,31.47410358565737,19.52191235059761,44.6215139442231,4.382470119521913
22,45.37313432835821,28.65671641791045,20.8955223880597,5.074626865671641
23,15.966386554621847,0.0,73.10924369747899,10.92436974789916
24,17.26618705035971,35.4916067146283,30.215827338129497,17.026378896882495
25,27.296587926509186,18.89763779527559,46.71916010498688,7.086614173228346
26,34.4578313253012,20.96385542168675,31.807228915662648,12.771084337349398
27,52.41228070175439,16.00877192982456,22.149122807017545,9.429824561403509
28,32.40506329113924,22.78481012658228,43.291139240506325,1.5189873417721518
29,66.57223796033995,31.728045325779036,1.69971671388102,0.0
30,38.666666666666664,21.523809523809522,24.761904761904763,15.04761904761905
31,53.60443622920518,34.56561922365989,11.829944547134936,0.0
32,69.12442396313364,7.834101382488479,19.35483870967742,3.686635944700461
33,56.56565656565656,6.565656565656567,19.696969696969695,17.17171717171717
34,0.0,21.38157894736842,50.6578947368421,27.960526315789476
35,32.904884318766065,40.616966580976865,23.90745501285347,2.570694087403599
36,40.88888888888889,33.55555555555556,23.77777777777778,1.7777777777777777
37,49.77477477477478,7.4324324324324325,42.792792792792795,0.0
38,22.839506172839506,18.765432098765434,50.617283950617285,7.777777777777778
39,52.475247524752476,15.346534653465346,22.277227722772277,9.900990099009901
40,12.337662337662337,22.07792207792208,59.41558441558441,6.1688311688311686
41,40.96774193548387,14.193548387096774,30.64516129032258,14.193548387096774
42,34.1796875,36.5234375,29.296875,0.0
43,35.63636363636364,28.363636363636363,31.636363636363633,4.363636363636364
44,35.96153846153846,15.769230769230768,44.80769230769231,3.4615384615384617
45,54.310344827586206,15.229885057471265,14.367816091954023,16.091954022988507
46,13.829787234042554,27.127659574468083,25.79787234042553,33.244680851063826
47,76.06177606177607,6.563706563706563,12.355212355212355,5.019305019305019
48,11.904761904761903,25.238095238095237,62.857142857142854,0.0
